"","V1","Kingdom","Phylum","Class","Order","Family","Genus","Species","Zotu","index","newGenus","newSpecies","name"
"1",-0.197955532637134,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu432",1,"Parvimonas","micra","Zotu432 Parvimonas micra"
"2",-0.182034401451579,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae_[XI]","g__Peptostreptococcaceae_[XI][G-9]","s__[Eubacterium]_brachy","Zotu71",2,"Peptostreptococcaceae_[XI][G-9]","[Eubacterium]_brachy","Zotu71 Peptostreptococcaceae_[XI][G-9] [Eubacterium]_brachy"
"3",-0.176200484760094,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu138",3,"Parvimonas","micra","Zotu138 Parvimonas micra"
"4",-0.174531923358152,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu371",4,"Parvimonas","micra","Zotu371 Parvimonas micra"
"5",-0.169761178180013,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu245",5,"Parvimonas","micra","Zotu245 Parvimonas micra"
"6",-0.158066704953352,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu1",6,"Parvimonas","micra","Zotu1 Parvimonas micra"
"7",-0.158011063299719,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu237",7,"Parvimonas","micra","Zotu237 Parvimonas micra"
"8",-0.156879197629536,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales_[F-2]","g__Bacteroidales_[G-2]","s__sp._oral_taxon_274","Zotu26",8,"Bacteroidales_[G-2]","sp._oral_taxon_274","Zotu26 Bacteroidales_[G-2] sp._oral_taxon_274"
"9",-0.149235587018406,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium","s__moorei","Zotu110",9,"Solobacterium","moorei","Zotu110 Solobacterium moorei"
"10",-0.141157836168388,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae_[XI]","g__Mogibacterium","s__timidum","Zotu20",10,"Mogibacterium","timidum","Zotu20 Mogibacterium timidum"
