k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__micra,Zotu1
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonellaceae_[G-1],s__sp._oral_taxon_155,Zotu101
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__intermedius,Zotu102
k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__curvus,Zotu103
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Selenomonas,s__sp._oral_taxon_134,Zotu106
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__oris,Zotu109
k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Fretibacterium,s__sp._oral_taxon_360,Zotu11
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Solobacterium,s__moorei,Zotu110
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Mogibacterium,(s__diversum/s__neglectum/s__pumilum/s__vescum),Zotu113
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,(s__odontolyticus/s__sp._oral_taxon_180),Zotu115
k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__gracilis,Zotu119
k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,NA,Zotu12
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,NA,Zotu123
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__sp._oral_taxon_268,Zotu124
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Selenomonas,NA,Zotu128
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Gemellaceae,g__Gemella,(s__haemolysans/s__morbillorum/s__sanguinis),Zotu129
k__Bacteria,p__Bacteroidetes,c__Bacteroidetes_[C-1],o__Bacteroidetes_[O-1],f__Bacteroidetes_[F-1],g__Bacteroidetes_[G-3],s__sp._oral_taxon_365,Zotu13
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Anaeroglobus,s__geminatus,Zotu131
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,s__parvula,Zotu132
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__maculosa,Zotu133
k__Bacteria,p__Saccharibacteria_(TM7),c__TM7_[C-1],o__TM7_[O-1],f__TM7_[F-1],g__TM7_[G-1],s__sp._oral_taxon_346,Zotu134
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Tannerella,(s__sp._oral_taxon_286/s__sp._oral_taxon_808),Zotu136
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__micra,Zotu138
k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Fretibacterium,s__sp._oral_taxon_360,Zotu139
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__denticola,Zotu14
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__meyeri,Zotu143
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,(s__georgiae/s__sp._oral_taxon_178/s__sp._oral_taxon_877),Zotu148
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Selenomonas,NA,Zotu149
k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__nucleatum_subsp._animalis,Zotu15
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__adiacens,Zotu154
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__oris,Zotu155
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__buccae,Zotu156
k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Fretibacterium,s__fastidiosum,Zotu157
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__dentium,Zotu16
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,NA,Zotu161
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Selenomonas,(s__sp._oral_taxon_136/s__sp._oral_taxon_149/s__sp._oral_taxon_478),Zotu163
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__tannerae,Zotu164
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,NA,Zotu166
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,NA,Zotu169
k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,NA,Zotu17
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__sp._oral_taxon_300,Zotu177
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,(s__endodontalis/s__sp._oral_taxon_285),Zotu18
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Peptostreptococcaceae_[XI][G-4],NA,Zotu182
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__acidifaciens,Zotu183
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Atopobium,s__parvulum,Zotu188
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__socranskii,Zotu19
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Shuttleworthia,s__satelles,Zotu194
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Cryptobacterium,s__curtum,Zotu195
k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__wadei,Zotu199
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Mogibacterium,s__timidum,Zotu20
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__acidifaciens,Zotu201
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__sp._oral_taxon_300,Zotu207
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Dialister,s__invisus,Zotu21
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__acidifaciens,Zotu212
k__Bacteria,p__Firmicutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__salivarium,Zotu214
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,NA,Zotu220
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__mutans,Zotu221
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Mogibacterium,s__timidum,Zotu224
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__denticola,Zotu225
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__mutans,Zotu226
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__mutans,Zotu228
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__nigrescens,Zotu23
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__oulorum,Zotu230
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__micra,Zotu237
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__maltophilum,Zotu24
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Catonella,(s__morbi/s__sp._oral_taxon_164),Zotu241
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Lachnospiraceae_[G-7],s__sp._oral_taxon_086,Zotu242
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__micra,Zotu245
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Atopobium,s__sp._oral_taxon_199,Zotu25
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Mitsuokella,s__sp._oral_taxon_131,Zotu253
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidales_[F-2],g__Bacteroidales_[G-2],s__sp._oral_taxon_274,Zotu26
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__micra,Zotu262
k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Fretibacterium,NA,Zotu264
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,NA,Zotu265
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Peptostreptococcus,s__stomatis,Zotu27
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__matruchotii,Zotu28
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,NA,Zotu280
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Atopobium,s__sp._oral_taxon_199,Zotu29
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__denticola,Zotu294
k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__nucleatum_subsp._animalis,Zotu3
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__mutans,Zotu308
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__uli,Zotu31
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,NA,Zotu314
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,NA,NA,Zotu329
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Atopobium,NA,Zotu33
k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Fretibacterium,NA,Zotu331
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__sp._oral_taxon_896,Zotu332
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,NA,Zotu336
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__mutans,Zotu341
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,(s__dentisani/s__infantis/s__mitis/s__oralis/s__sp._oral_taxon_058/s__sp._oral_taxon_061/s__sp._oral_taxon_064/s__sp._oral_taxon_070/s__sp._oral_taxon_423/s__sp._oral_taxon_431/s__tigurinus),Zotu35
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Lachnoanaerobaculum,s__saburreum,Zotu355
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Peptostreptococcus,s__stomatis,Zotu358
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__uli,Zotu359
k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,NA,Zotu36
k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Fretibacterium,s__fastidiosum,Zotu37
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__micra,Zotu371
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,NA,Zotu373
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__socranskii,Zotu38
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__denticola,Zotu381
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,NA,Zotu39
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__micra,Zotu391
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__mutans,Zotu4
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,NA,Zotu40
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__denticola,Zotu402
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,NA,Zotu404
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__oris,Zotu41
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Atopobium,s__sp._oral_taxon_199,Zotu42
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__mutans,Zotu420
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Peptostreptococcus,s__stomatis,Zotu424
k__Bacteria,p__Actinobacteria,c__Actinobacteria,NA,NA,NA,NA,Zotu427
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__denticola,Zotu428
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,NA,Zotu431
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptoniphilaceae,g__Parvimonas,s__micra,Zotu432
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae_[XI],g__Peptostreptococcus,s__stomatis,Zotu435
